ID	CONCEPT_ID	CONCEPT	IDIOM	TRANSCRIPTION	SEGMENTS	COG_ID
1	2	ashes	Anchiq	ʟ’ej	ʟ’ e j	5
2	3	bark	Anchiq	qale	q a l e	55
3	4	belly	Anchiq	bak’ʷal	b a k’ʷ a l	11
4	5	big	Anchiq	hič’uχʷab	h i č’ u χʷ a b	15
5	6	bird	Anchiq	šːakibo	šː a k i b o	19
6	7	bite (V)	Anchiq	q’ame	q’ a m e	23
7	8	black	Anchiq	beč’at’ob	b e č’ a t’ o b	33
8	9	blood	Anchiq	heri	h e r i	31
9	10	bone	Anchiq	raʟ’e	r a ʟ’ e	34
10	11	breast	Anchiq	niχe	n i χ e	16
11	12	burn (V, TR)	Anchiq	c’ahaː 	c’ a h aː	43
12	13	cloud	Anchiq	hanʔu	h a n ʔ u	47
13	14	cold	Anchiq	zaraχub	z a r a χ u b	42
14	16	die (V)	Anchiq	wulʔa	w u l ʔ a	61
15	17	dog	Anchiq	χʷaj	χʷ a j	358
16	18	drink (V)	Anchiq	c’ːare	c’ː a r e	52
17	19	dry	Anchiq	beq’ub	b e q’ u b	2
18	20	ear	Anchiq	hant’ik’a	h a n t’ i k’ a	366
19	21	earth	Anchiq	ũšːi	ũ šː i	73
20	22	eat (V)	Anchiq	ame	a m e	75
21	23	egg	Anchiq	k’ark’an	k’ a r k’ a n	80
22	24	eye	Anchiq	hark’a	h a r k’ a	86
23	25	fat	Anchiq	xʷamu	xʷ a m u	96
24	26	feather	Anchiq	ħuli	ħ u l i	
25	27	fire	Anchiq	c’ej	c’ e j	102
26	28	fish	Anchiq	čːuʕa	čː u ʕ a	
27	29	fly (V)	Anchiq	ardira	a r d i r a	111
28	30	foot	Anchiq	c’ek’a	c’ e k’ a	116
29	31	full	Anchiq	bec’ob	b e c’ o b	128
30	32	give (V)	Anchiq	ekːe	e kː e	4
31	33	go (V)	Anchiq	woʟe	w o ʟ e	39
32	34	good	Anchiq	xohow	x o h o w	135
