Id,Label,Translation,Root,Slot,Conj,Nas,Lab,RV,Son,Defic,Irreg
1,attach,присоединяться,-ac'-,+Agr,E,-N,-L,a,-R,Norm,
2,attach.ᴘʟᴀᴄ,присоединяться (множ.),-ac'ic'-,+Agr,E,-N,-L,a,-R,Norm,
3,carry.ᴄᴀᴜꜱ,возить (кауз.) ,-ačːar-,+Agr,A,-N,-L,a,-R,Incr,
4,carry,возить,-ačːir-,+Agr,E,-N,-L,a,-R,Std,
5,be_short,быть коротким,-ačak'-,+Agr,E,-N,-L,a,-R,Norm,
6,close.ᴘʟᴀᴄ,закрывать (множ.),-acucʷ-,+Agr,U,-N,+L,a,-R,Norm,
7,uncoil.ᴘʟᴀᴄ,размотаться (множ.),-ačučʷ-,+Agr,A,-N,+L,a,-R,Norm,
8,close,закрывать,-acʷ-,+Agr,U,-N,+L,a,-R,Norm,
9,uncoil,размотаться,-ačʷ-,+Agr,A,-N,+L,a,-R,Norm,
10,take,брать,-ah-,+Agr,E,-N,-L,a,-R,Norm,
11,bend,гнуться,-ãk'-,+Agr,A,+N,-L,a,-R,Norm,
12,gather,собираться,-ak'ar-,+Agr,E,-N,-L,a,-R,Norm,
13,start,начинать,-aɬ-,+Agr,A,-N,-L,a,-R,Norm,
14,be_similar,быть похожим,-ãɬː-,+Agr,E,+N,-L,a,-R,Norm,AltIPFV
15,appear,появляться,-aq-,+Agr,E,-N,-L,a,-R,Norm,
16,to_end,заканчивать,-aqin-,+Agr,A,-N,-L,a,?,Norm,
17,tell,говорить,-ãs-,+Agr,A,+N,-L,a,-R,Norm,
18,devour,жрать,-ašː-,+Agr,E,-N,-L,a,-R,Norm,
19,manage,справляться,-ažer-,+Agr,E,-N,-L,a,-R,Norm,
20,reach,достигать,-aʔ-,+Agr,A,-N,-L,a,-R,Norm,
21,reach.ᴘʟᴀᴄ,достигать (множ.),-aʔiʔ-,+Agr,A,-N,-L,a,-R,Norm,
22,demolish,разрушать,-aχː-,+Agr,E,-N,-L,a,-R,Norm,
23,be_full,быть полным,-ec'-,+Agr,E,-N,-L,e,-R,Norm,
24,wither,вянуть,-eč'-,+Agr,A,-N,-L,e,-R,Norm,
25,be_black,быть чёрным,-eč'at-,+Agr,E,-N,-L,e,-R,Norm,
26,devastate,опустошать,-eč'uχːʷ-,+Agr,U,-N,-L,e,-R,Norm,
27,praise,хвалить,-ecːir-,+Agr,E,-N,-L,e,?,Norm,
29,forget,забывать,-ečič-,+Agr,A,-N,-L,e,-R,Norm,
30,be_drunk,быть пьяным,-egʷ-,+Agr,A,-N,+L,e,-R,Norm,
31,fall,падать,-ekːʷ-,+Agr,U,-N,+L,e,-R,Norm,
32,be_thin,быть тонким,-elʔar-,+Agr,A,-N,-L,e,?,Norm,
33,go,идти,-eʟ-,+Agr,E,-N,-L,e,-R,Norm,AddIPFV
34,plow,пахать,-eʟ'-,+Agr,E,-N,-L,e,-R,Norm,
35,bring,приносить,-eɬ-,+Agr,A,-N,-L,e,-R,Norm,
36,haul,таскать,-eq-,+Agr,E,-N,-L,e,-R,Norm,
37,dry,сохнуть,-eq'ʷ-,+Agr,U,-N,+L,e,-R,Norm,
38,haul.ᴘʟᴀᴄ,таскать (множ.),-eqiq-,+Agr,E,-N,-L,e,-R,Norm,
39,butt,бодаться,-eqʷ-,+Agr,U,-N,+L,e,-R,Norm,
40,be_dregful,быть мутным,-eʁ-,+Agr,E,-N,-L,e,-R,Norm,
41,leave,оставлять,-esː-,+Agr,A,-N,-L,e,-R,Norm,
42,loose,терять,-et-,+Agr,A,-N,-L,e,-R,Norm,
43,come,приходить,-exʷ-,+Agr,A,-N,+L,e,-R,Norm,
44,fry,жарить,-ež-,+Agr,A,-N,-L,e,-R,Norm,
45,be_long,быть длинным,-eχːel-,+Agr,A,-N,-L,e,-R,Norm,AltIPFV
46,sell,продавать,-ič-,+Agr,A,-N,-L,i,-R,Norm,
47,go_out,иссякать,-ič'-,+Agr,A,-N,-L,i,-R,Norm,
48,explain,объяснить,-ič'ːar-,+Agr,E,-N,-L,i,-R,Incr,
49,understand,понимать,-ič'ːir-,+Agr,E,-N,-L,i,-R,Std,
50,sodden,мокнуть,-ičː-,+Agr,E,-N,-L,i,-R,Norm,
51,sober,трезветь,-ih-,+Agr,A,-N,-L,i,-R,Norm,
52,be,быть,-ik'ʷ-,+Agr,A,-N,+L,i,-R,Norm,
53,keep,держать,-ikː-,+Agr,E,-N,-L,i,-R,Norm,
54,die,умирать,-ilʔ-,+Agr,A,-N,-L,i,-R,Norm,
55,dress,одеваться,-ĩʟ'-,+Agr,E,+N,-L,i,-R,Norm,
56,put,класть,-iɬ-,+Agr,E,-N,-L,i,-R,Norm,
57,stew,варить,-ĩɬ-,+Agr,A,+N,-L,i,-R,Norm,
58,hide,прятаться,-iq'išː,+Agr,E,-N,-L,i,-R,Norm,
59,stop,останавливаться,-iʁ-,+Agr,E,-N,-L,i,-R,Norm,
60,lose_out,проигрывать,-ĩʁ-,+Agr,A,+N,-L,i,-R,Norm,
61,firm,уплотняться,-is-,+Agr,A,-N,-L,i,-R,Norm,
62,be_fat,быть толстым,-iš-,+Agr,E,-N,-L,i,-R,Norm,AltIPFV; AddIPFV
63,find,находиться,-ĩs-,+Agr,A,+N,-L,i,-R,Norm,
64,win,побеждать,-ĩš-,+Agr,A,+N,-L,i,-R,Norm,
65,defrost,таять,-ĩsː-,+Agr,A,+N,-L,i,-R,Norm,
66,work,работать,-ĩšq-,+Agr,E,+N,-L,i,-R,Norm,
67,get_well,поправляться,-it'-,+Agr,E,-N,-L,i,-R,Norm,
68,know,знать,-iʔ-,+Agr,A,-N,-L,i,-R,Norm,
69,ache,болеть,-olʔ-,+Agr,A,-N,-L,o,-R,Norm,
70,become,становиться,-oʟ-,+Agr,E,-N,-L,o,-R,Norm,
71,beat,бить,-oʟ'-,+Agr,E,-N,-L,o,-R,Norm,
72,draw,вынимать,-oq-,+Agr,E,-N,-Lp,o,-R,Norm,
73,cut,резать,-oq'-,+Agr,E,-N,-Lp,o,-R,Norm,
74,strain,цедить,-uc'ːʷ-,+Agr,U,-N,+L,u,-R,Norm,
75,unfold,раскрывать,-ũč'ʷ-,+Agr,A,+N,+L,u,-R,Norm,
76,wash,мыть,-ũčʷ-,+Agr,A,+N,+L,u,-R,Norm,
77,swallow,глотать,-ũk'ːʷ-,+Agr,U,+N,+Lr,u,-R,Norm,
78,bisect,разделить надвое,-ũʟ'ʷ-,+Agr,U,+N,+L,u,-R,Norm,
79,slauther,забивать,-uqʷ-,+Agr,U,-N,+Lr,u,-R,Norm,
80,swell,опухать,-ũʁʷ-,+Agr,A,+N,+Lr,u,-R,Norm,
81,rip,распарывать,-ũsːʷ-,+Agr,U,+N,+L,u,-R,Norm,
82,disown,отказаться признать,-usʷ-,+Agr,U,+N,+L,u,-R,Norm,
83,detach.ᴘʟᴀᴄ,срывать (множ.),-ut'ut'ʷ-,+Agr,U,-N,+L,u,-R,Norm,
84,detach,срывать,-ut'ʷ-,+Agr,U,-N,+L,u,-R,Norm,
85,untie,развязывать,-utʷ-,+Agr,U,-N,+L,u,-R,Norm,
86,sit_well,усвоиться,-uz-,+Agr,U,+N,+L,u,-R,Norm,
87,grow,расти,-užʷ-,+Agr,U,-N,+L,u,-R,Norm,
88,break,ломаться,-uʔʷ-,+Agr,U,-N,+Lr,u,-R,Norm,
89,grow_up,расти,-ũʔʷ-,+Agr,U,+N,+Lr,u,-R,Norm,
90,mock,смеяться,-uχːut'ʷ-,+Agr,U,-N,+L,u,-R,Norm,
91,scoop,сгребать,-ũχːʷ-,+Agr,U,+N,+Lr,u,-R,Norm,
92,remain,оставаться,-uχʷ-,+Agr,U,-N,+Lr,u,-R,Norm,
93,move,двигаться,a‹›at,+Agr,A,-N,-L,—,-R,Norm,
94,move.ᴘʟᴀᴄ,двигаться (множ.),a‹›atit-,+Agr,A,-N,-L,—,-R,Norm,
95,enlarge,расширять,ab-,-Agr,E,-N,-L,—,+R,Norm,
96,lay_into,поколачивать,abd-,-Agr,E,-N,-L,—,-R,Norm,
